symbol,avg_high,avg_low,avg_amplitude,max_high,max_amplitude,std_amplitude,range_high,range_low,num_records
600585,36.08277221895233,35.194284873454976,0.8884873454973513,63.56,5.079999999999998,0.6225510053435181,43.61,42.66,1699
601966,23.971681415929204,23.085970501474925,0.8857109144542773,58.38,5.560000000000002,0.7615560527264533,44.790000000000006,42.46,1695
601601,30.98772218952325,30.104443790464977,0.8832783990582694,47.14,4.210000000000001,0.4991919540760553,28.53,26.659999999999997,1699
002444,22.82114773396115,21.937957622130668,0.8831901118304883,41.58,3.780000000000001,0.5559396806692258,32.58,30.61,1699
600765,21.175915244261333,20.292960565038257,0.8829546792230724,53.99,5.149999999999999,0.7898915398946339,46.38,42.06,1699
HAL,26.110612290251066,25.234924880752505,0.8756874094985585,41.51778209770211,3.716517411746157,0.4328755319797851,36.68232592341885,36.68465459480936,1507
600862,22.307957622130665,21.43892878163626,0.8690288404944085,41.9,4.82,0.6340324238792552,36.15,32.980000000000004,1699
CSCO,48.39462763419881,47.52823484642784,0.8663927877709644,80.3898265277314,5.660914228820715,0.494549067081581,50.44932310835452,51.32855769218666,1507
600141,22.162025912838637,21.295936395759718,0.8660895170789165,58.38,6.880000000000003,0.8293185625595114,49.49,44.49,1698
600859,22.164887039239005,21.299429250891794,0.8654577883472055,79.19,9.160000000000004,0.9997184197804794,67.37,59.49000000000001,1682
300054,20.67821933962264,19.814044811320755,0.8641745283018869,40.23,4.990000000000002,0.5143145765879237,33.849999999999994,32.5,1696
600150,25.813520621637775,24.94971309025702,0.8638075313807531,45.95,4.599999999999998,0.5584631406932007,33.07,30.119999999999997,1673
CCL,19.656226188581403,18.79676222632956,0.8594639622518434,51.34078612687623,7.800000190734863,0.5711030925387035,44.60078635575807,44.60805678459325,1507
K,59.788589189526114,58.93003778045032,0.8585514090757979,83.48999786376953,5.872489697045161,0.6066593144544868,40.065665847392175,43.1824386334406,1494
300001,22.014237786933492,21.157274867569157,0.856962919364332,41.55,6.409999999999997,0.6165337844716143,28.089999999999996,25.990000000000002,1699
GLW,37.25203579319395,36.39807648858108,0.853959304612857,96.63999938964844,8.049995422363281,0.6948533223095419,80.63365195408684,77.13574560074375,1507
002422,26.35934078869924,25.51417304296645,0.845167745732784,41.72,4.400000000000002,0.4782681795345649,26.52,25.28,1699
FOX,34.540890024564064,33.69579980450998,0.8450902200540812,65.73999786376953,4.666388305235394,0.49522730980331253,46.74457862733097,47.39716156135074,1507
BKR,28.55977034266919,27.71513029684139,0.8446400458278007,51.119998931884766,5.22420720988697,0.4507414240190717,42.529200912388916,42.20276287071947,1507
000768,24.705821071218367,23.86595644496763,0.8398646262507358,41.78,4.469999999999999,0.5831836417580212,28.380000000000003,25.75,1699
WBD,18.98055075618235,18.14080293619957,0.8397478199827806,78.13999938964844,23.610000610351562,0.9719875914376764,71.15999937057495,67.87000226974487,1507
CPB,40.177690897901314,39.33839934503965,0.839291552861664,51.139838604657974,6.001877293270439,0.4883033664002073,23.49657278745447,23.28193361766192,1507
WRB,43.1547154870267,42.32074476945352,0.833970717573182,77.7185958333879,5.587929388257635,0.5078362961371463,59.152143582188074,59.66336286961126,1507
002648,22.03766921718658,21.208740435550325,0.8289287816362566,48.99,5.0,0.6912192273345339,39.44,37.07,1699
600079,21.640308056872037,20.812020142180096,0.8282879146919431,39.54,4.480000000000004,0.5328140842589947,30.39,28.65,1688
